# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 157202 4690
p 2 0 920 0 131134 1574
p 2 0 920 0 104146 1573
p 2 0 920 0 104428 1573
p 2 0 920 0 100648 1572
p 2 0 920 0 95317 1571
p 2 10 910 0 116598 1613
p 2 63 857 0 106741 1777
p 2 89 831 0 93292 1879
p 2 107 808 5 84353 1900
p 2 97 809 14 83073 1864
p 2 101 767 52 67808 1753
p 2 95 762 63 71591 1711
p 2 72 847 1 74820 1849
p 2 64 819 37 53968 1700
p 2 83 786 51 49024 1725
p 2 64 825 31 53977 1688
p 2 80 768 72 43375 1665
p 2 78 795 47 43915 1714
p 2 77 832 11 39118 1741
p 2 8 856 56 28861 1393
p 2 9 834 77 24685 1331
p 2 9 823 88 27958 1333
p 2 10 821 89 25402 1311
p 2 8 871 41 39371 1420
p 2 3 910 7 34661 1453
p 2 2 889 29 34737 1439
p 2 1 908 11 37322 1523
p 2 5 901 14 36721 1512
p 2 3 895 22 35674 1491
p 2 1 906 13 43567 1503
p 2 0 897 23 39773 1446
p 2 1 888 31 38629 1470
p 2 3 893 24 38682 1510
p 2 4 888 28 38858 1524
p 2 7 867 46 38354 1486
p 2 9 890 21 44603 1549
p 2 8 903 9 42592 1583
p 2 12 891 17 38408 1558
p 2 9 896 15 38306 1560
p 2 8 881 31 36989 1519
p 2 4 881 35 35340 1480
p 2 2 895 23 41253 1495
p 2 1 900 19 37107 1484
p 2 1 878 41 31660 1405
p 2 1 860 59 33581 1404
p 2 3 867 50 34306 1405
p 2 1 839 80 33743 1396
p 2 9 906 5 42526 1572
p 2 16 885 19 40662 1562
p 2 15 886 19 39853 1611
p 2 14 883 23 40137 1622
p 2 8 895 17 41732 1611
p 2 9 888 23 43249 1670
p 2 9 906 5 50773 1717
p 2 3 915 2 51222 1741
p 2 9 885 26 42907 1726
p 2 8 904 8 46202 1817
p 2 11 885 24 47848 1840
p 2 15 905 0 54296 1917
p 2 18 897 5 53747 1913
p 2 19 889 12 50354 1904
p 2 23 895 2 51826 1922
p 2 24 881 15 51489 1883
p 2 27 874 19 48829 1831
p 2 14 902 4 55294 1813
p 2 19 897 4 54336 1755
p 2 9 895 16 55072 1656
p 2 5 905 10 54527 1643
p 2 4 897 19 54091 1619
p 2 3 895 22 49619 1555
p 2 0 915 5 57226 1580
p 2 0 915 5 55929 1571
p 2 0 901 19 53522 1548
p 2 1 915 4 54470 1582
p 2 2 908 10 53554 1559
p 2 4 899 17 50614 1566
p 2 1 908 11 58727 1589
p 2 0 914 6 57274 1574
p 2 2 911 7 54063 1556
p 2 0 915 5 55271 1565
p 2 0 906 14 55698 1552
p 2 0 908 12 53563 1559
p 2 0 920 0 62186 1610
p 2 0 917 3 58865 1586
p 2 0 905 15 55507 1566
p 2 0 915 5 57715 1606
p 2 1 913 6 57626 1590
p 2 1 912 7 56039 1570
p 2 3 917 0 63930 1619
p 2 0 918 2 61149 1575
p 2 1 908 11 58072 1564
p 2 2 917 1 59019 1604
p 2 1 918 1 58550 1586
p 2 6 909 5 56099 1582
p 2 1 919 0 64282 1597
p 2 0 919 1 59314 1536
p 2 0 916 4 55540 1512
p 2 2 915 3 57879 1536
p 2 1 916 3 49338 1455
p 2 6 890 24 47579 1441
